	A_A	A_R	A_N	A_D	A_C	A_E	A_Q	A_G	A_H	A_I	A_L	A_K	A_M	A_F	A_P	A_S	A_T	A_W	A_Y	A_V	R_A	R_R	R_N	R_D	R_C	R_E	R_Q	R_G	R_H	R_I	R_L	R_K	R_M	R_F	R_P	R_S	R_T	R_W	R_Y	R_V	N_A	N_R	N_N	N_D	N_C	N_E	N_Q	N_G	N_H	N_I	N_L	N_K	N_M	N_F	N_P	N_S	N_T	N_W	N_Y	N_V	D_A	D_R	D_N	D_D	D_C	D_E	D_Q	D_G	D_H	D_I	D_L	D_K	D_M	D_F	D_P	D_S	D_T	D_W	D_Y	D_V	C_A	C_R	C_N	C_D	C_C	C_E	C_Q	C_G	C_H	C_I	C_L	C_K	C_M	C_F	C_P	C_S	C_T	C_W	C_Y	C_V	E_A	E_R	E_N	E_D	E_C	E_E	E_Q	E_G	E_H	E_I	E_L	E_K	E_M	E_F	E_P	E_S	E_T	E_W	E_Y	E_V	Q_A	Q_R	Q_N	Q_D	Q_C	Q_E	Q_Q	Q_G	Q_H	Q_I	Q_L	Q_K	Q_M	Q_F	Q_P	Q_S	Q_T	Q_W	Q_Y	Q_V	G_A	G_R	G_N	G_D	G_C	G_E	G_Q	G_G	G_H	G_I	G_L	G_K	G_M	G_F	G_P	G_S	G_T	G_W	G_Y	G_V	H_A	H_R	H_N	H_D	H_C	H_E	H_Q	H_G	H_H	H_I	H_L	H_K	H_M	H_F	H_P	H_S	H_T	H_W	H_Y	H_V	I_A	I_R	I_N	I_D	I_C	I_E	I_Q	I_G	I_H	I_I	I_L	I_K	I_M	I_F	I_P	I_S	I_T	I_W	I_Y	I_V	L_A	L_R	L_N	L_D	L_C	L_E	L_Q	L_G	L_H	L_I	L_L	L_K	L_M	L_F	L_P	L_S	L_T	L_W	L_Y	L_V	K_A	K_R	K_N	K_D	K_C	K_E	K_Q	K_G	K_H	K_I	K_L	K_K	K_M	K_F	K_P	K_S	K_T	K_W	K_Y	K_V	M_A	M_R	M_N	M_D	M_C	M_E	M_Q	M_G	M_H	M_I	M_L	M_K	M_M	M_F	M_P	M_S	M_T	M_W	M_Y	M_V	F_A	F_R	F_N	F_D	F_C	F_E	F_Q	F_G	F_H	F_I	F_L	F_K	F_M	F_F	F_P	F_S	F_T	F_W	F_Y	F_V	P_A	P_R	P_N	P_D	P_C	P_E	P_Q	P_G	P_H	P_I	P_L	P_K	P_M	P_F	P_P	P_S	P_T	P_W	P_Y	P_V	S_A	S_R	S_N	S_D	S_C	S_E	S_Q	S_G	S_H	S_I	S_L	S_K	S_M	S_F	S_P	S_S	S_T	S_W	S_Y	S_V	T_A	T_R	T_N	T_D	T_C	T_E	T_Q	T_G	T_H	T_I	T_L	T_K	T_M	T_F	T_P	T_S	T_T	T_W	T_Y	T_V	W_A	W_R	W_N	W_D	W_C	W_E	W_Q	W_G	W_H	W_I	W_L	W_K	W_M	W_F	W_P	W_S	W_T	W_W	W_Y	W_V	Y_A	Y_R	Y_N	Y_D	Y_C	Y_E	Y_Q	Y_G	Y_H	Y_I	Y_L	Y_K	Y_M	Y_F	Y_P	Y_S	Y_T	Y_W	Y_Y	Y_V	V_A	V_R	V_N	V_D	V_C	V_E	V_Q	V_G	V_H	V_I	V_L	V_K	V_M	V_F	V_P	V_S	V_T	V_W	V_Y	V_V
A_A	-3391	7	9	44	21	37	15	118	2	74	55	13	25	4	81	294	325	2	1	421	18	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	6	10	1	0	1	0	0	0	3	0	1	0	0	0	1	0	3	4	0	0	6	37	2	0	1	0	1	0	0	0	2	1	0	0	0	1	5	13	0	0	5	12	0	0	1	1	0	0	0	0	0	0	0	0	0	3	1	7	0	0	6	48	8	1	0	0	2	0	0	1	2	2	1	0	0	1	4	6	0	0	8	5	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	28	183	1	0	3	0	4	0	2	0	16	1	1	2	0	3	8	20	0	2	6	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	3	37	0	0	0	0	0	0	3	0	1	1	0	0	0	1	1	10	0	0	11	17	1	0	1	0	1	0	6	0	1	0	0	0	0	1	4	3	0	0	6	39	0	1	1	0	1	0	2	0	0	0	0	0	0	0	4	1	0	1	2	19	0	0	0	0	0	0	0	0	1	0	0	0	0	1	3	1	0	0	5	8	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	5	56	0	0	0	1	1	0	2	0	1	0	1	0	0	1	7	5	0	0	68	438	1	1	2	2	3	1	7	1	3	4	5	1	1	6	38	29	0	1	36	314	2	1	3	1	2	2	6	1	21	1	1	0	1	4	17	22	0	1	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	30	295	3	1	2	3	2	1	20	0	3	2	3	2	1	2	8	18	0	2	17
A_R	7	-2602	14	4	40	11	143	47	83	22	23	273	7	0	10	40	23	13	1	8	0	20	1	0	0	1	1	0	1	0	2	1	0	0	0	0	1	0	0	3	0	19	0	0	0	0	1	0	0	0	0	4	0	0	0	2	0	0	0	14	0	83	1	0	1	0	3	2	2	0	0	15	0	0	0	1	0	0	0	1	0	12	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	10	0	86	0	0	0	0	4	2	2	0	9	6	0	0	0	1	0	0	0	6	0	16	0	0	0	1	1	0	0	1	2	4	0	0	1	1	1	0	0	12	1	177	0	1	1	1	2	1	2	0	1	13	0	0	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	3	0	22	1	1	0	2	1	0	1	0	0	1	0	0	0	2	0	0	0	1	0	21	0	0	0	7	1	1	1	0	1	4	0	0	0	1	0	0	0	6	0	11	0	1	0	1	2	0	1	1	1	2	0	0	0	1	0	1	0	2	0	21	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	2	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	1	142	0	0	3	0	2	0	1	1	0	4	0	0	0	1	1	0	0	36	1	349	3	1	2	1	13	4	7	1	2	19	1	1	0	2	3	1	1	20	1	290	2	0	4	1	13	1	10	0	6	12	4	0	2	7	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	10	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	28	0	277	1	1	4	1	4	1	4	1	5	19	2	3	1	3	2	1	0	1
A_N	5	18	-2114	113	8	9	13	51	60	6	2	46	2	0	2	187	69	0	10	13	0	0	18	3	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	3	0	0	12	1	0	0	1	0	2	0	1	1	0	0	0	1	0	0	0	15	0	4	47	1	0	0	1	0	1	0	0	2	0	0	0	3	2	0	0	4	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	4	4	0	88	1	1	0	0	0	0	1	0	1	0	0	0	3	1	0	0	2	1	0	22	1	0	0	0	0	1	0	0	0	0	0	0	2	1	0	0	18	3	0	164	3	0	1	2	1	2	0	0	1	0	0	0	6	4	0	1	2	0	0	11	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	2	0	0	20	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	13	1	0	0	1	0	0	0	0	2	0	0	0	2	0	0	0	3	0	0	25	1	0	0	0	0	1	0	0	0	0	0	0	5	0	0	0	1	0	0	13	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	12	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	7	0	1	46	6	0	1	1	6	1	0	0	0	0	0	0	2	1	0	0	51	1	5	292	16	0	2	1	2	6	1	0	5	0	1	1	16	15	0	1	17	1	1	264	16	0	1	2	1	4	0	0	5	0	1	0	15	3	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	2	1	206	4	0	4	1	2	6	3	0	3	0	0	1	14	3	0	1	1
A_D	45	10	165	-2417	1	242	12	39	16	11	4	25	0	1	2	17	22	0	3	24	0	0	1	63	0	6	2	3	0	0	1	0	0	0	0	2	0	0	0	7	1	0	2	35	0	3	0	1	1	0	0	0	0	0	0	0	0	0	0	5	1	0	1	21	1	3	2	1	3	0	0	1	0	0	1	2	0	0	0	4	0	0	0	17	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	1	6	59	0	1	0	1	2	0	0	0	0	0	0	6	1	0	0	6	1	0	0	24	0	3	0	1	0	0	0	0	0	0	0	3	0	0	0	8	3	1	1	194	1	26	0	1	0	0	1	1	0	1	0	1	3	0	0	2	0	0	0	6	0	2	0	6	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	23	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	23	0	6	1	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	3	34	0	4	0	1	0	0	0	0	0	0	0	1	0	0	0	2	2	0	0	10	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	0	2	41	0	5	0	8	4	0	0	0	0	0	0	0	0	0	0	38	3	1	11	516	0	20	2	7	3	1	0	2	0	1	0	2	6	0	1	27	3	1	8	313	0	17	1	4	5	0	0	3	0	0	0	4	1	0	2	4	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	7	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	12	1	1	7	168	0	13	1	2	2	0	0	2	0	0	0	2	1	0	0	2
A_C	22	107	67	2	-1906	0	9	7	30	3	3	2	3	53	1	197	14	6	56	17	0	2	0	0	14	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	0	24	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	46	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	5	0	0	30	0	0	0	1	0	2	0	0	1	0	0	0	0	1	1	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	4	1	1	0	168	0	0	0	2	0	1	0	0	1	3	1	0	0	4	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	1	0	0	15	0	0	1	1	0	1	0	0	6	0	1	0	0	1	2	0	0	0	0	10	0	0	1	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	6	0	0	0	1	0	0	0	0	0	0	15	1	0	1	0	0	0	1	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	1	6	0	2	9	0	51	0	3	0	1	1	0	1	0	0	0	2	1	0	0	44	1	6	7	1	298	1	9	1	3	1	1	5	1	2	1	4	7	5	4	55	2	4	1	0	157	0	1	1	8	0	1	1	0	2	0	38	1	0	4	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	1	3	1	3	271	0	1	6	4	2	5	1	1	2	1	9	1	1	8	1
A_E	44	11	16	160	0	-2352	86	32	5	2	11	99	3	0	14	10	17	1	1	32	0	0	1	7	0	57	1	2	0	0	0	1	0	0	0	0	0	0	0	5	1	1	0	10	0	22	2	0	1	0	0	1	0	0	0	0	1	0	0	2	0	0	0	2	0	21	2	1	0	0	0	2	0	0	0	1	0	0	0	1	0	0	0	0	0	28	2	0	0	0	0	1	0	0	0	0	0	0	0	8	13	2	2	3	0	43	3	1	1	0	1	5	1	0	0	3	2	0	1	5	1	0	1	4	0	11	2	1	0	0	0	1	0	0	0	2	1	0	0	13	1	1	4	7	0	104	1	1	0	0	0	6	0	0	0	1	3	0	0	2	0	0	0	1	0	7	1	0	0	0	0	1	0	0	0	0	0	0	0	3	0	0	0	2	0	48	1	0	0	0	0	1	0	0	0	0	0	0	0	2	0	3	1	3	0	31	2	0	1	0	0	1	0	0	0	1	0	0	0	2	2	0	2	7	0	32	3	1	0	0	0	0	0	0	1	0	0	0	0	3	1	0	0	1	0	11	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	1	1	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	15	2	0	10	4	0	49	0	1	0	0	0	2	0	0	0	0	0	0	0	35	5	4	3	23	0	408	7	3	1	1	1	13	1	0	1	2	2	0	0	25	5	1	5	23	0	396	5	5	1	0	1	17	0	0	1	1	1	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	13	1	0	1	14	0	276	2	6	1	0	0	4	0	0	0	2	1	0	1	1
A_Q	10	174	32	3	2	126	-2605	5	116	11	88	97	20	1	24	16	8	9	3	16	0	1	0	0	0	4	16	0	1	0	1	1	0	0	0	0	1	0	0	2	0	1	0	0	0	1	15	0	1	1	1	4	0	0	0	0	0	0	0	6	0	13	0	0	0	1	43	1	1	0	1	4	0	0	0	1	0	0	0	0	0	1	0	0	0	1	7	0	0	0	0	1	1	0	0	0	1	0	0	10	1	13	1	0	0	1	114	1	4	0	5	9	0	0	0	1	0	0	0	4	0	1	0	0	0	2	6	0	1	0	2	3	0	0	0	0	1	0	0	4	0	7	2	1	0	3	133	0	2	0	2	13	0	0	3	0	1	0	0	1	0	1	0	0	0	1	3	0	0	0	1	0	0	0	0	0	0	0	0	7	0	1	0	0	0	1	31	0	2	0	1	2	0	0	0	0	0	0	1	4	0	3	1	1	0	1	24	0	2	0	1	1	0	0	0	1	0	0	0	3	1	1	0	0	0	2	19	0	1	0	3	1	1	0	0	0	1	0	0	1	2	0	0	1	0	1	11	0	1	0	0	1	0	0	0	0	1	0	0	1	0	0	0	1	0	0	7	0	1	0	1	2	0	0	0	0	0	0	0	12	0	10	2	1	4	4	177	0	2	0	5	6	0	0	0	1	0	0	0	20	1	9	1	3	0	12	437	1	7	1	3	20	2	0	1	2	1	1	1	16	1	11	5	1	0	10	373	2	9	0	7	3	1	0	1	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	3	0	0	0	1	0	0	0	0	0	0	0	0	22	0	18	12	2	0	6	209	0	11	0	9	13	1	0	0	2	3	0	1	2
A_G	111	50	21	17	11	35	5	-1928	2	1	5	7	1	0	3	102	8	3	0	8	0	0	1	1	0	0	0	15	1	0	0	1	0	0	0	1	0	0	1	1	2	1	1	0	0	0	4	6	0	0	0	0	0	0	0	2	0	0	0	5	1	0	6	1	0	1	6	25	0	1	1	0	0	0	0	1	0	0	0	3	0	0	0	0	0	1	0	22	0	0	0	0	0	0	0	0	0	0	0	2	0	1	1	1	0	0	0	43	0	0	0	1	0	0	0	1	1	0	0	2	0	0	1	0	7	0	0	25	0	0	0	0	0	0	0	1	0	0	0	7	1	0	2	1	0	3	0	97	0	0	1	1	0	0	0	1	1	0	0	2	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	1	0	2	0	34	0	0	0	1	0	0	0	1	0	0	0	5	1	0	0	1	0	2	0	16	0	0	0	0	0	0	0	1	0	0	0	2	0	0	1	3	0	1	0	9	0	0	0	0	0	0	0	1	0	0	0	8	1	0	0	0	0	0	0	19	0	0	0	0	0	0	0	1	0	0	0	1	4	0	0	1	0	1	0	18	0	0	0	0	0	0	0	0	0	0	0	8	3	1	0	1	0	1	0	57	1	1	0	0	0	0	0	2	0	0	0	26	6	2	2	4	0	4	0	484	12	0	0	2	0	0	1	5	4	1	1	14	5	5	2	3	1	5	1	246	1	0	1	1	1	0	0	10	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	9	0	0	0	0	0	0	8	1	0	0	0	0	0	0	0	0	0	0	17	5	4	4	4	1	2	1	258	1	0	1	4	1	0	0	5	1	0	0	2
A_H	14	132	135	14	21	10	132	2	-3005	12	54	35	2	32	5	46	38	1	239	10	0	1	2	0	0	0	2	0	22	0	0	0	0	0	0	0	1	0	0	1	0	0	1	1	0	0	2	0	17	0	0	1	0	3	0	0	0	0	1	9	0	7	2	0	0	0	1	0	72	0	3	1	0	0	0	1	0	0	6	2	0	2	1	2	0	0	8	0	60	1	0	0	0	0	0	2	0	0	1	11	0	25	1	0	1	0	7	1	45	0	5	2	0	0	0	1	0	0	3	5	0	1	0	0	1	0	3	0	7	0	1	15	0	1	0	0	0	0	2	10	2	5	3	0	0	1	6	0	134	0	0	0	0	2	2	1	0	0	36	1	0	1	0	0	0	0	0	0	13	0	0	1	0	0	0	0	0	0	0	6	1	1	3	1	0	0	1	0	41	1	1	0	0	0	0	0	1	0	1	7	0	0	1	1	0	0	5	1	35	0	0	1	0	0	0	2	0	0	1	3	0	1	3	0	1	0	1	0	19	0	2	0	0	0	1	1	0	0	3	3	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	1	1	2	0	1	1	0	0	0	4	0	0	0	0	0	0	0	0	0	0	8	6	4	3	0	0	0	4	0	108	1	1	0	0	0	0	4	1	0	2	50	3	16	18	3	2	2	12	0	329	1	1	3	0	2	4	4	1	0	10	14	17	14	9	2	3	1	11	1	370	0	3	1	0	2	1	6	2	1	11	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	4	1	0	1	0	0	0	1	0	0	0	22	1	8	13	1	1	2	7	2	468	1	2	1	0	2	1	1	4	0	11	2
A_I	28	9	1	5	1	2	4	1	1	-2815	258	5	95	28	2	15	130	1	4	1329	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	8	2	0	0	0	0	0	0	0	0	12	0	1	0	0	0	0	0	0	0	14	1	0	2	0	0	1	0	0	0	6	0	0	0	0	0	0	0	0	0	6	4	0	0	0	0	0	0	0	0	4	1	0	0	0	0	0	0	0	0	15	2	1	1	0	0	0	3	0	0	7	0	0	0	0	1	0	0	0	0	6	0	0	0	0	0	0	0	0	0	8	1	0	0	0	0	0	0	0	0	39	3	0	1	0	0	0	2	0	0	16	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0	1	0	16	10	0	4	1	0	2	2	0	0	9	0	0	0	0	0	0	0	0	0	7	10	0	1	0	0	0	1	0	0	7	1	0	0	0	0	1	1	0	0	6	1	1	0	1	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	19	1	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	8	0	0	5	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	11	4	0	1	2	0	0	1	0	1	19	5	0	0	0	0	0	1	1	0	153	15	0	1	1	0	4	6	0	0	38	2	0	0	0	0	0	3	0	0	193	8	0	3	0	0	2	11	0	0	33	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	19	2	0	1	1	0	0	0	0	0	337	20	0	16	1	0	1	8	0	0	68
